date,team1,team2,city,venue,toss_winner,toss_decision,winner,year,home_team,team1_recent_form,team2_recent_form,team1_h2h_wins,team2_h2h_wins,toss_match_win,target,team1_strength,team2_strength
2025-05-04,United Arab Emirates,Scotland,Amstelveen,"VRA Ground, Amstelveen",Scotland,field,Scotland,2025,Neutral,1,4,4,9,1,0,0.3486238532110092,0.5714285714285714
2025-05-06,Netherlands,United Arab Emirates,Amstelveen,"VRA Ground, Amstelveen",United Arab Emirates,field,Netherlands,2025,Neutral,3,1,1,1,0,1,0.4098360655737705,0.3486238532110092
2025-05-08,United Arab Emirates,Scotland,Amstelveen,"VRA Ground, Amstelveen",United Arab Emirates,bat,United Arab Emirates,2025,Neutral,1,4,4,10,1,1,0.3486238532110092,0.5714285714285714
2025-05-10,Netherlands,Scotland,Amstelveen,"VRA Ground, Amstelveen",Netherlands,bat,Netherlands,2025,Neutral,4,3,2,1,1,1,0.4098360655737705,0.5714285714285714
2025-05-12,United Arab Emirates,Netherlands,Utrecht,"Sportpark Maarschalkerweerd, Utrecht",United Arab Emirates,bat,Netherlands,2025,Neutral,1,4,1,2,0,0,0.3486238532110092,0.4098360655737705
2025-05-14,United Arab Emirates,Scotland,Utrecht,"Sportpark Maarschalkerweerd, Utrecht",United Arab Emirates,bat,Scotland,2025,Neutral,1,2,5,10,0,0,0.3486238532110092,0.5714285714285714
2025-05-16,Scotland,Netherlands,Utrecht,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,field,Scotland,2025,Neutral,3,5,1,3,0,1,0.5714285714285714,0.4098360655737705
2025-05-17,United States of America,Canada,Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",United States of America,bat,United States of America,2025,Neutral,4,4,2,1,1,1,0.5571428571428572,0.37037037037037035
2025-05-19,Oman,Canada,Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Oman,bat,Oman,2025,Neutral,3,3,0,2,1,1,0.5151515151515151,0.37037037037037035
2025-05-21,Ireland,West Indies,Dublin,"Castle Avenue, Dublin",West Indies,field,Ireland,2025,Neutral,2,4,3,7,0,1,0.4024390243902439,0.34591194968553457
2025-05-23,Canada,Oman,Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Canada,bat,Oman,2025,Neutral,2,3,2,1,0,0,0.37037037037037035,0.5151515151515151
2025-05-25,West Indies,Ireland,Dublin,"Castle Avenue, Dublin",Ireland,field,West Indies,2025,Neutral,4,3,7,4,0,1,0.34591194968553457,0.4024390243902439
2025-05-25,United States of America,Canada,Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",United States of America,bat,United States of America,2025,Neutral,4,1,3,1,1,1,0.5571428571428572,0.37037037037037035
2025-05-27,United States of America,Oman,Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Oman,field,United States of America,2025,Neutral,4,4,2,5,0,1,0.5571428571428572,0.5151515151515151
2025-05-29,England,West Indies,Birmingham,"Edgbaston, Birmingham",West Indies,field,England,2025,England,0,4,12,6,0,1,0.5895953757225434,0.34591194968553457
2025-06-01,West Indies,England,Cardiff,"Sophia Gardens, Cardiff",England,field,England,2025,England,3,1,6,13,1,0,0.34591194968553457,0.5895953757225434
2025-06-02,Scotland,Nepal,Dundee,"Forthill, Dundee",Nepal,field,Nepal,2025,Neutral,3,1,3,4,1,0,0.5714285714285714,0.5185185185185185
2025-06-03,West Indies,England,London,"Kennington Oval, London",England,field,England,2025,England,2,2,6,14,1,0,0.34591194968553457,0.5895953757225434
2025-06-04,Netherlands,Nepal,Dundee,"Forthill, Dundee",Netherlands,bat,Nepal,2025,Neutral,4,2,2,1,0,0,0.4098360655737705,0.5185185185185185
2025-06-06,Scotland,Netherlands,Dundee,"Forthill, Dundee",Netherlands,field,Scotland,2025,Neutral,2,3,2,3,0,1,0.5714285714285714,0.4098360655737705
2025-06-08,Scotland,Nepal,Dundee,"Forthill, Dundee",Scotland,bat,Scotland,2025,Neutral,3,3,3,5,1,1,0.5714285714285714,0.5185185185185185
2025-06-10,Nepal,Netherlands,Dundee,"Forthill, Dundee",Netherlands,field,Nepal,2025,Neutral,3,2,2,2,0,1,0.5185185185185185,0.4098360655737705
2025-06-12,Scotland,Netherlands,Dundee,"Forthill, Dundee",Scotland,bat,Netherlands,2025,Neutral,4,1,3,3,0,0,0.5714285714285714,0.4098360655737705
2025-07-02,Sri Lanka,Bangladesh,Colombo,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka,2025,Sri Lanka,3,0,11,8,1,1,0.41899441340782123,0.5107913669064749
2025-07-05,Bangladesh,Sri Lanka,Colombo,"R Premadasa Stadium, Colombo",Bangladesh,bat,Bangladesh,2025,Sri Lanka,0,4,8,12,1,1,0.5107913669064749,0.41899441340782123
2025-07-08,Sri Lanka,Bangladesh,Kandy,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka,2025,Sri Lanka,4,1,12,9,1,1,0.41899441340782123,0.5107913669064749
2025-08-08,West Indies,Pakistan,Tarouba,"Brian Lara Stadium, Tarouba, Trinidad",Pakistan,field,Pakistan,2025,Neutral,1,0,3,8,1,0,0.34591194968553457,0.5123456790123457
2025-08-10,Pakistan,West Indies,Tarouba,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,West Indies,2025,Neutral,1,1,9,3,1,0,0.5123456790123457,0.34591194968553457
2025-08-12,West Indies,Pakistan,Tarouba,"Brian Lara Stadium, Tarouba, Trinidad",Pakistan,field,West Indies,2025,Neutral,1,1,4,9,0,1,0.34591194968553457,0.5123456790123457
2025-08-19,South Africa,Australia,Cairns,"Cazaly's Stadium, Cairns",Australia,field,South Africa,2025,Neutral,1,1,16,5,0,1,0.5828220858895705,0.5705882352941176
2025-08-22,South Africa,Australia,Mackay,"Great Barrier Reef Arena, Mackay",South Africa,bat,South Africa,2025,Neutral,2,1,17,5,1,1,0.5828220858895705,0.5705882352941176
2025-08-24,Australia,South Africa,Mackay,"Great Barrier Reef Arena, Mackay",Australia,bat,Australia,2025,Neutral,1,3,5,18,1,1,0.5705882352941176,0.5828220858895705
2025-08-27,Canada,Namibia,King City,"Maple Leaf North-West Ground, King City",Namibia,field,Namibia,2025,Neutral,0,1,0,2,1,0,0.37037037037037035,0.5
2025-08-29,Sri Lanka,Zimbabwe,Harare,Harare Sports Club,Zimbabwe,field,Sri Lanka,2025,Neutral,4,2,10,5,0,1,0.41899441340782123,0.29357798165137616
2025-08-31,Zimbabwe,Sri Lanka,Harare,Harare Sports Club,Sri Lanka,field,Sri Lanka,2025,Neutral,2,4,5,11,1,0,0.29357798165137616,0.41899441340782123
2025-08-31,Canada,Scotland,King City,"Maple Leaf North-West Ground, King City",Scotland,field,Scotland,2025,Neutral,0,3,2,0,1,0,0.37037037037037035,0.5714285714285714
2025-09-02,England,South Africa,Leeds,"Headingley, Leeds",South Africa,field,South Africa,2025,England,3,3,8,10,1,0,0.5895953757225434,0.5828220858895705
2025-09-02,Namibia,Canada,King City,"Maple Leaf North-West Ground, King City",Canada,field,Namibia,2025,Neutral,2,0,3,0,0,1,0.5,0.37037037037037035
2025-09-04,Scotland,Namibia,King City,"Maple Leaf North-West Ground, King City",Scotland,bat,Scotland,2025,Neutral,3,3,6,1,1,1,0.5714285714285714,0.5
2025-09-04,South Africa,England,London,"Lord's, London",England,field,South Africa,2025,England,3,3,11,8,0,1,0.5828220858895705,0.5895953757225434
2025-09-07,England,South Africa,Southampton,"The Rose Bowl, Southampton",South Africa,field,England,2025,Neutral,3,4,8,12,0,1,0.5895953757225434,0.5828220858895705
2025-10-18,Bangladesh,West Indies,Dhaka,"Shere Bangla National Stadium, Mirpur",West Indies,field,Bangladesh,2025,Bangladesh,1,2,14,5,0,1,0.5107913669064749,0.34591194968553457
2025-10-19,India,Australia,Perth,Perth Stadium,Australia,field,Australia,2025,Australia,5,2,18,18,1,0,0.673469387755102,0.5705882352941176
2025-10-23,India,Australia,Adelaide,Adelaide Oval,Australia,field,Australia,2025,Australia,4,2,18,19,1,0,0.673469387755102,0.5705882352941176
2025-10-23,Bangladesh,West Indies,Dhaka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,2025,Bangladesh,2,2,15,5,1,1,0.5107913669064749,0.34591194968553457
2025-10-25,Australia,India,Sydney,Sydney Cricket Ground,Australia,bat,India,2025,Australia,3,3,20,18,0,0,0.5705882352941176,0.673469387755102
2025-10-26,England,New Zealand,Mount Maunganui,"Bay Oval, Mount Maunganui",New Zealand,field,New Zealand,2025,New Zealand,3,4,11,7,1,0,0.5895953757225434,0.6271186440677966
2025-10-26,United States of America,Nepal,Dubai,Dubai International Cricket Stadium,Nepal,field,United States of America,2025,Neutral,5,3,2,4,0,1,0.5571428571428572,0.5185185185185185
2025-10-28,United Arab Emirates,United States of America,Dubai,Dubai International Cricket Stadium,United States of America,field,United States of America,2025,Neutral,1,5,2,7,1,0,0.3486238532110092,0.5571428571428572
2025-10-29,England,New Zealand,Hamilton,"Seddon Park, Hamilton",New Zealand,field,New Zealand,2025,New Zealand,2,4,11,8,1,0,0.5895953757225434,0.6271186440677966
2025-10-30,Nepal,United Arab Emirates,Dubai,"ICC Academy, Dubai",Nepal,bat,United Arab Emirates,2025,Neutral,3,1,9,6,0,0,0.5185185185185185,0.3486238532110092
2025-11-01,Nepal,United States of America,Dubai,"ICC Academy, Dubai",United States of America,field,United States of America,2025,Neutral,2,5,4,3,1,0,0.5185185185185185,0.5571428571428572
2025-11-01,England,New Zealand,Wellington,"Sky Stadium, Wellington",New Zealand,field,New Zealand,2025,New Zealand,1,5,11,9,1,0,0.5895953757225434,0.6271186440677966
2025-11-03,United States of America,United Arab Emirates,Dubai,Dubai International Cricket Stadium,United Arab Emirates,field,United States of America,2025,Neutral,5,2,8,2,0,1,0.5571428571428572,0.3486238532110092
2025-11-04,South Africa,Pakistan,Faisalabad,"Iqbal Stadium, Faisalabad",Pakistan,field,Pakistan,2025,Neutral,3,1,5,11,1,0,0.5828220858895705,0.5123456790123457
2025-11-05,Nepal,United Arab Emirates,Dubai,"ICC Academy, Dubai",United Arab Emirates,field,United Arab Emirates,2025,Neutral,1,1,9,7,1,0,0.5185185185185185,0.3486238532110092
2025-11-06,Pakistan,South Africa,Faisalabad,"Iqbal Stadium, Faisalabad",Pakistan,bat,South Africa,2025,Neutral,2,2,12,5,0,0,0.5123456790123457,0.5828220858895705
2025-11-08,South Africa,Pakistan,Faisalabad,"Iqbal Stadium, Faisalabad",South Africa,bat,Pakistan,2025,Neutral,3,2,6,12,0,0,0.5828220858895705,0.5123456790123457
2025-11-11,Pakistan,Sri Lanka,Rawalpindi,Rawalpindi Cricket Stadium,Sri Lanka,field,Pakistan,2025,Pakistan,2,4,12,3,0,1,0.5123456790123457,0.41899441340782123
2025-11-14,Sri Lanka,Pakistan,Rawalpindi,Rawalpindi Cricket Stadium,Pakistan,field,Pakistan,2025,Pakistan,3,3,3,13,1,0,0.41899441340782123,0.5123456790123457
2025-11-16,New Zealand,West Indies,Christchurch,"Hagley Oval, Christchurch",West Indies,field,New Zealand,2025,New Zealand,5,2,7,1,0,1,0.6271186440677966,0.34591194968553457
2025-11-16,Sri Lanka,Pakistan,Rawalpindi,Rawalpindi Cricket Stadium,Pakistan,field,Pakistan,2025,Pakistan,3,4,3,14,1,0,0.41899441340782123,0.5123456790123457
2025-11-19,West Indies,New Zealand,Napier,"McLean Park, Napier",New Zealand,field,New Zealand,2025,New Zealand,2,5,1,8,1,0,0.34591194968553457,0.6271186440677966
2025-11-22,West Indies,New Zealand,Hamilton,"Seddon Park, Hamilton",West Indies,bat,New Zealand,2025,New Zealand,1,5,1,9,0,0,0.34591194968553457,0.6271186440677966
2025-11-30,India,South Africa,Ranchi,"JSCA International Stadium Complex, Ranchi",South Africa,field,India,2025,Neutral,3,2,15,9,0,1,0.673469387755102,0.5828220858895705
2025-12-03,India,South Africa,Raipur,"Shaheed Veer Narayan Singh International Stadium, Raipur",South Africa,field,South Africa,2025,Neutral,3,1,16,9,1,0,0.673469387755102,0.5828220858895705
2025-12-06,South Africa,India,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",India,field,India,2025,Neutral,2,2,10,16,1,0,0.5828220858895705,0.673469387755102
2026-01-11,New Zealand,India,Vadodara,"Kotambi Stadium, Vadodara",India,field,India,2026,Neutral,5,3,9,16,1,0,0.6271186440677966,0.673469387755102
2026-01-14,India,New Zealand,Rajkot,"Niranjan Shah Stadium, Rajkot",New Zealand,field,New Zealand,2026,Neutral,4,4,17,9,1,0,0.673469387755102,0.6271186440677966
2026-01-18,New Zealand,India,Indore,"Holkar Cricket Stadium, Indore",India,field,New Zealand,2026,Neutral,4,3,10,17,0,1,0.6271186440677966,0.673469387755102
2026-01-22,Sri Lanka,England,Colombo,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka,2026,Sri Lanka,2,1,4,8,1,1,0.41899441340782123,0.5895953757225434
2026-01-24,Sri Lanka,England,Colombo,"R Premadasa Stadium, Colombo",Sri Lanka,bat,England,2026,Sri Lanka,2,1,5,8,0,0,0.41899441340782123,0.5895953757225434
2026-01-27,England,Sri Lanka,Colombo,"R Premadasa Stadium, Colombo",England,bat,England,2026,Sri Lanka,1,1,9,5,1,1,0.5895953757225434,0.41899441340782123
2026-03-11,Pakistan,Bangladesh,Dhaka,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Bangladesh,2026,Bangladesh,4,3,3,4,1,0,0.5123456790123457,0.5107913669064749
